College Code,College Name,Branch Code,Branch Name,2023,2024,Difference
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,IT,INFORMATION TECHNOLOGY,107,109,2
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,ME,MECHANICAL ENGINEERING,109,108,-1
5,Annamalai University Faculty of Engineering andTechnology Annamalai nagar Cuddalore,MM,MECHANICAL ENGINEERING(MANUFACTURING),54,55,1
1013,University College of Engineering  VillupuramKakuppam  Villupuram District 605103,CS,COMPUTER SCIENCE ANDENGINEERING,53,54,1
1013,University College of Engineering  VillupuramKakuppam  Villupuram District 605103,EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,55,55,0
1013,University College of Engineering  VillupuramKakuppam  Villupuram District 605103,IT,INFORMATION TECHNOLOGY,54,54,0
1013,University College of Engineering  VillupuramKakuppam  Villupuram District 605103,ME,MECHANICAL ENGINEERING,54,55,1
1013,University College of Engineering  VillupuramKakuppam  Villupuram District 605103,XM,MECHANICAL ENGINEERING(TAMIL MEDIUM),27,27,0
1014,University College of Engineering  TindivanamMelpakkam  Tindivanam  Villupuram District 604001,CE,CIVIL  ENGINEERING,55,54,-1
1014,University College of Engineering  TindivanamMelpakkam  Tindivanam  Villupuram District 604001,CS,COMPUTER SCIENCE ANDENGINEERING,53,54,1
1014,University College of Engineering  TindivanamMelpakkam  Tindivanam  Villupuram District 604001,EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,54,55,1
1014,University College of Engineering  TindivanamMelpakkam  Tindivanam  Villupuram District 604001,IT,INFORMATION TECHNOLOGY,54,54,0
1014,University College of Engineering  TindivanamMelpakkam  Tindivanam  Villupuram District 604001,XC,CIVIL ENGINEERING (TAMILMEDIUM),27,27,0
1015,University College of Engineering  Arni  Arni toDevikapuram Road  Thatchur  Arni  ThiruvannamalaiDistrict 632326,CS,COMPUTER SCIENCE ANDENGINEERING,51,55,4
1015,University College of Engineering  Arni  Arni toDevikapuram Road  Thatchur  Arni  ThiruvannamalaiDistrict 632326,EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,55,54,-1
1015,University College of Engineering  Arni  Arni toDevikapuram Road  Thatchur  Arni  ThiruvannamalaiDistrict 632326,EE,ELECTRICAL AND ELECTRONICSENGINEERING,54,54,0
1015,University College of Engineering  Arni  Arni toDevikapuram Road  Thatchur  Arni  ThiruvannamalaiDistrict 632326,ME,MECHANICAL ENGINEERING,54,27,-27
1015,University College of Engineering  Arni  Arni toDevikapuram Road  Thatchur  Arni  ThiruvannamalaiDistrict 632326,XM,MECHANICAL ENGINEERING(TAMIL MEDIUM),27,28,1
1026,University College of Engineering  KancheepuramPonnerikarai Campus  NH4  Chennai-BangaloreHighway  Karaipettai Village & Post  KancheepuramDistrict 631552,CS,COMPUTER SCIENCE ANDENGINEERING,55,54,-1
1026,University College of Engineering  KancheepuramPonnerikarai Campus  NH4  Chennai-BangaloreHighway  Karaipettai Village & Post  KancheepuramDistrict 631552,EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,54,53,-1
1026,University College of Engineering  KancheepuramPonnerikarai Campus  NH4  Chennai-BangaloreHighway  Karaipettai Village & Post  KancheepuramDistrict 631552,EE,ELECTRICAL AND ELECTRONICSENGINEERING,54,55,1
1026,University College of Engineering  KancheepuramPonnerikarai Campus  NH4  Chennai-BangaloreHighway  Karaipettai Village & Post  KancheepuramDistrict 631552,ME,MECHANICAL ENGINEERING,53,55,2
1101,"Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet, Avadi -IAF, Chennai-600055.",AD,Artificial Intelligence and DataScience,28,27,-1
1101,"Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet, Avadi -IAF, Chennai-600055.",AM,COMPUTER SCIENCE ANDENGINEERING (AI ANDMACHINE LEARNING),0,14,14
1101,"Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet, Avadi -IAF, Chennai-600055.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,0,22,22
1101,"Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet, Avadi -IAF, Chennai-600055.",CS,COMPUTER SCIENCE ANDENGINEERING,54,54,0
1101,"Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet, Avadi -IAF, Chennai-600055.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,26,27,1
1101,"Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet, Avadi -IAF, Chennai-600055.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,23,23,0
1101,"Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet, Avadi -IAF, Chennai-600055.",IT,INFORMATION TECHNOLOGY,27,27,0
1101,"Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet, Avadi -IAF, Chennai-600055.",ME,MECHANICAL ENGINEERING,22,18,-4
1101,"Aalim Muhammed Salegh College of Engineering,Nizara Educational Campus Muthapudupet, Avadi -IAF, Chennai-600055.",SC,Computer Science andEngineering (Cyber Security),0,41,41
1102,"Bhajarang Engineering College, Ayathur Village,Veppampattu (R.S), Thiruvallur dist-602024.",CE,CIVIL  ENGINEERING,0,27,27
1102,"Bhajarang Engineering College, Ayathur Village,Veppampattu (R.S), Thiruvallur dist-602024.",CS,COMPUTER SCIENCE ANDENGINEERING,0,28,28
1102,"Bhajarang Engineering College, Ayathur Village,Veppampattu (R.S), Thiruvallur dist-602024.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,0,28,28
1102,"Bhajarang Engineering College, Ayathur Village,Veppampattu (R.S), Thiruvallur dist-602024.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,0,27,27
1102,"Bhajarang Engineering College, Ayathur Village,Veppampattu (R.S), Thiruvallur dist-602024.",ME,MECHANICAL ENGINEERING,0,26,26
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",AE,AERONAUTICAL ENGINEERING,27,18,-9
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",AM,COMPUTER SCIENCE ANDENGINEERING (AI ANDMACHINE LEARNING),0,14,14
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,18,14,-4
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",CE,CIVIL  ENGINEERING,14,14,0
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",CO,COMPUTER ANDCOMMUNICATIONENGINEERING,0,13,13
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",CS,COMPUTER SCIENCE ANDENGINEERING,54,54,0
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,41,27,-14
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,27,27,0
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",EI,ELECTRONICS ANDINSTRUMENTATIONENGINEERING,18,18,0
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",IT,INFORMATION TECHNOLOGY,53,54,1
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",ME,MECHANICAL ENGINEERING,27,14,-13
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",RM,ROBOTICS AND AUTOMATION,0,14,14
1106,"Jaya Engineering College, Prakash Nagar,Thiruninravur, Thiruvallur District, Chennai-602024.",TX,TEXTILE TECHNOLOGY,18,18,0
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",CS,COMPUTER SCIENCE ANDENGINEERING,46,23,-23
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,23,24,1
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,22,22,0
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",FD,FOOD TECHNOLOGY,37,22,-15
1107,"Jaya Institute of Technology, Kanchipadi, Thiruvallur-Thiruthani NH Road, Thiruvallur Taluk & District-631204.",ME,MECHANICAL ENGINEERING,22,23,1
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",AD,Artificial Intelligence and DataScience,53,68,15
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",AM,COMPUTER SCIENCE ANDENGINEERING (AI ANDMACHINE LEARNING),28,41,13
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",BT,BIO TECHNOLOGY,52,50,-2
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,0,14,14
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",CS,COMPUTER SCIENCE ANDENGINEERING,80,81,1
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,28,50,22
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,22,23,1
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",IT,INFORMATION TECHNOLOGY,27,27,0
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",ME,MECHANICAL ENGINEERING,0,27,27
1110,"Prathyusha Engineering College (Autonomous),Poonamallee-Tiruvallur High Road,Aranvoyalkuppam, Tiruvallur-602025.",SC,Computer Science andEngineering (Cyber Security),27,27,0
1112,"R.M.D. Engineering College (Autonomous), R.S.M.Nagar, Gummidipoondi Taluk, Kavaraipettai,Thiruvallur-601206.",AL,Artificial Intelligence andMachine Learning,27,27,0
1112,"R.M.D. Engineering College (Autonomous), R.S.M.Nagar, Gummidipoondi Taluk, Kavaraipettai,Thiruvallur-601206.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,27,27,0
1112,"R.M.D. Engineering College (Autonomous), R.S.M.Nagar, Gummidipoondi Taluk, Kavaraipettai,Thiruvallur-601206.",CS,COMPUTER SCIENCE ANDENGINEERING,108,109,1
1112,"R.M.D. Engineering College (Autonomous), R.S.M.Nagar, Gummidipoondi Taluk, Kavaraipettai,Thiruvallur-601206.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,79,81,2
1112,"R.M.D. Engineering College (Autonomous), R.S.M.Nagar, Gummidipoondi Taluk, Kavaraipettai,Thiruvallur-601206.",IT,INFORMATION TECHNOLOGY,27,55,28
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",AD,Artificial Intelligence and DataScience,54,54,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,28,27,-1
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",CD,COMPUTER SCIENCE ANDDESIGN,26,28,2
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",CE,CIVIL  ENGINEERING,14,14,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",CS,COMPUTER SCIENCE ANDENGINEERING,108,109,1
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",EA,Electronics and Communication(Advanced CommunicationTechnology),27,27,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,80,81,1
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,27,26,-1
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",EV,Electronics Engineering (VLSIDesign and Technology),27,27,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",IT,INFORMATION TECHNOLOGY,55,55,0
1113,"R.M.K. Engineering College (Autonomous), R.S.M.Nagar, Kavaraipettai, Gummidipoondi Taluk,Thiruvallur-601206.",ME,MECHANICAL ENGINEERING,14,14,0
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",AD,Artificial Intelligence and DataScience,55,55,0
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",AM,COMPUTER SCIENCE ANDENGINEERING (AI ANDMACHINE LEARNING),28,27,-1
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,27,27,0
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",CE,CIVIL  ENGINEERING,14,18,4
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",CS,COMPUTER SCIENCE ANDENGINEERING,81,150,69
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,81,81,0
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,81,81,0
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",EV,Electronics Engineering (VLSIDesign and Technology),54,41,-13
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",IT,INFORMATION TECHNOLOGY,27,62,35
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",ME,MECHANICAL ENGINEERING,36,36,0
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077.",SC,Computer Science andEngineering (Cyber Security),27,33,6
1115,"SriRam Engineering College, Perumalpattu,Veppampattu R.S., Tiruvallur District, Chennai-602024.",AD,Artificial Intelligence and DataScience,28,41,13
1115,"SriRam Engineering College, Perumalpattu,Veppampattu R.S., Tiruvallur District, Chennai-602024.",AM,COMPUTER SCIENCE ANDENGINEERING (AI ANDMACHINE LEARNING),23,22,-1
1115,"SriRam Engineering College, Perumalpattu,Veppampattu R.S., Tiruvallur District, Chennai-602024.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,22,22,0
1115,"SriRam Engineering College, Perumalpattu,Veppampattu R.S., Tiruvallur District, Chennai-602024.",CS,COMPUTER SCIENCE ANDENGINEERING,35,40,5
1115,"SriRam Engineering College, Perumalpattu,Veppampattu R.S., Tiruvallur District, Chennai-602024.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,22,23,1
1115,"SriRam Engineering College, Perumalpattu,Veppampattu R.S., Tiruvallur District, Chennai-602024.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,23,22,-1
1115,"SriRam Engineering College, Perumalpattu,Veppampattu R.S., Tiruvallur District, Chennai-602024.",ME,MECHANICAL ENGINEERING,22,22,0
1115,"SriRam Engineering College, Perumalpattu,Veppampattu R.S., Tiruvallur District, Chennai-602024.",SC,Computer Science andEngineering (Cyber Security),22,21,-1
1116,"Sri Venkateswara College of Engineering andTechnology, Thirupachur, Thiruvallur Taluk & District-631203.",AD,Artificial Intelligence and DataScience,40,27,-13
1116,"Sri Venkateswara College of Engineering andTechnology, Thirupachur, Thiruvallur Taluk & District-631203.",AM,COMPUTER SCIENCE ANDENGINEERING (AI ANDMACHINE LEARNING),22,14,-8
1116,"Sri Venkateswara College of Engineering andTechnology, Thirupachur, Thiruvallur Taluk & District-631203.",CE,CIVIL  ENGINEERING,25,27,2
1116,"Sri Venkateswara College of Engineering andTechnology, Thirupachur, Thiruvallur Taluk & District-631203.",CS,COMPUTER SCIENCE ANDENGINEERING,31,27,-4
1116,"Sri Venkateswara College of Engineering andTechnology, Thirupachur, Thiruvallur Taluk & District-631203.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,46,54,8
1116,"Sri Venkateswara College of Engineering andTechnology, Thirupachur, Thiruvallur Taluk & District-631203.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,18,27,9
1116,"Sri Venkateswara College of Engineering andTechnology, Thirupachur, Thiruvallur Taluk & District-631203.",IT,INFORMATION TECHNOLOGY,18,14,-4
1116,"Sri Venkateswara College of Engineering andTechnology, Thirupachur, Thiruvallur Taluk & District-631203.",ME,MECHANICAL ENGINEERING,45,54,9
1116,"Sri Venkateswara College of Engineering andTechnology, Thirupachur, Thiruvallur Taluk & District-631203.",SC,Computer Science andEngineering (Cyber Security),23,14,-9
1118,"Vel Tech Multi Tech Dr Rangarajan Dr SakunthalaEngineering College (Autonomous), 42, Veltech Road,Avadi, Morai, Thiruvallur-600062.",AD,Artificial Intelligence and DataScience,55,55,0
1118,"Vel Tech Multi Tech Dr Rangarajan Dr SakunthalaEngineering College (Autonomous), 42, Veltech Road,Avadi, Morai, Thiruvallur-600062.",BM,BIO MEDICAL ENGINEERING,40,41,1
1118,"Vel Tech Multi Tech Dr Rangarajan Dr SakunthalaEngineering College (Autonomous), 42, Veltech Road,Avadi, Morai, Thiruvallur-600062.",CB,COMPUTER SCIENCE ANDBUSSINESS SYSTEM,27,28,1
1118,"Vel Tech Multi Tech Dr Rangarajan Dr SakunthalaEngineering College (Autonomous), 42, Veltech Road,Avadi, Morai, Thiruvallur-600062.",CS,COMPUTER SCIENCE ANDENGINEERING,80,81,1
1118,"Vel Tech Multi Tech Dr Rangarajan Dr SakunthalaEngineering College (Autonomous), 42, Veltech Road,Avadi, Morai, Thiruvallur-600062.",EC,ELECTRONICS ANDCOMMUNICATIONENGINEERING,55,54,-1
1118,"Vel Tech Multi Tech Dr Rangarajan Dr SakunthalaEngineering College (Autonomous), 42, Veltech Road,Avadi, Morai, Thiruvallur-600062.",EE,ELECTRICAL AND ELECTRONICSENGINEERING,31,41,10
